----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage            # genomes   # markers   # marker sets    0     1    2   3   4   5+   Completeness   Contamination   Strain heterogeneity  
  metabat.56         k__Bacteria (UID203)            5449        104            58         98    6    0   0   0   0        7.76            0.00               0.00          
  metabat.41         k__Bacteria (UID203)            5449        104            58         95    9    0   0   0   0        6.90            0.00               0.00          
  metabat.39         k__Bacteria (UID203)            5449        104            58         99    5    0   0   0   0        6.90            0.00               0.00          
  metabat.10         k__Bacteria (UID203)            5449        104            58         99    5    0   0   0   0        6.90            0.00               0.00          
  metabat.14      o__Clostridiales (UID1212)         172         263           149        219    44   0   0   0   0        6.71            0.00               0.00          
  metabat.7              root (UID1)                 5656         56            24         53    3    0   0   0   0        6.25            0.00               0.00          
  metabat.75     p__Proteobacteria (UID3061)         115         395           260        358    37   0   0   0   0        5.59            0.00               0.00          
  metabat.58         k__Bacteria (UID203)            5449        104            58         97    7    0   0   0   0        5.17            0.00               0.00          
  metabat.53             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.48             root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.4              root (UID1)                 5656         56            24         55    1    0   0   0   0        4.17            0.00               0.00          
  metabat.29             root (UID1)                 5656         56            24         54    2    0   0   0   0        2.08            0.00               0.00          
  metabat.9              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.71             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.67             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.66         k__Bacteria (UID203)            5449        104            58        104    0    0   0   0   0        0.00            0.00               0.00          
  metabat.65             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.64             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.63             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.47             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.46             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.42             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.40             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.38             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.36             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.32             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.31             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.30             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.28             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.27             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.25             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.24             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.22         k__Bacteria (UID203)            5449        103            57        103    0    0   0   0   0        0.00            0.00               0.00          
  metabat.20             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.19             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.18             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.17             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.16             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.15             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.12             root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
  metabat.1              root (UID1)                 5656         56            24         56    0    0   0   0   0        0.00            0.00               0.00          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
